gene	K_18	K_19	G_20	K_21	K_22	K_23	G_24	G_25	G_26	G_27
204327_s_at	138.8	158.3	203.3	171.8	191	171.8	149.3	183.5	203	290
204328_at	333	476.3	772.5	630.8	1073.5	607	660.3	860	839	532.3
204329_s_at	145.3	88.5	157.8	167.3	195.8	128.3	147.8	139.3	156.8	286
204330_s_at	100.3	88.5	136.5	129.5	149.3	110	132	125.3	130.3	215.5
204331_s_at	168.3	202.3	260.5	265.3	265.5	182.5	239.3	196	264	382.3
204332_s_at	168.3	152.8	256	243.5	310.3	221.8	253.5	251	262.5	322
204333_s_at	90	80.5	103.3	115.3	150.8	113.8	98	125.5	125.3	177.3
204334_at	191	204	575.3	416.5	309.8	197	452.3	536	447.3	472.3
204335_at	189.5	154.5	287	220	311.3	202.8	225	217.8	270.3	340.8
204336_s_at	258.3	285.3	682.3	321.5	439	331.3	590.8	498	712.3	688.5
204337_at	140	101	122	163.3	165.5	130	155.3	157	146.5	238.3
204338_s_at	99.5	82.8	123.5	136.5	146.3	107	124.8	121	131.3	219.3
204339_s_at	172.8	115.3	191	229.5	225.5	157.5	174.8	199.5	229.5	295.3
204340_at	108.5	101	133.8	164.5	218.3	123	135.3	131	149	297
204341_at	165.8	119.5	184.3	208.8	253	149.8	237.3	199.8	188.8	251.8
204342_at	97.5	115.5	157	238	243.3	125.8	155.8	177.5	195.5	213.3
204343_at	132.3	109.3	170.3	172.8	202.3	122.3	147.5	186.3	165.3	245
204344_s_at	151.3	101.8	147.8	202.3	214	136.5	148	167.5	195.8	200.5
204345_at	118.3	79.5	114.3	152.3	145.3	103	108.5	108	161.3	243.5
204346_s_at	263	261	496.3	400.8	616.3	321.3	496.3	484	424.8	464.8
204347_at	82.8	66.5	87.8	107	94.5	81.3	91.5	92.5	108.3	176.3
204348_s_at	150.5	120.3	189.3	209.5	177.3	177	214.3	166.5	191.8	267.8
204349_at	71	69.8	83.3	93.3	104	84.5	77	79.8	93.8	152
204350_s_at	149.3	187.3	191.3	187.3	248.5	182.3	234.8	190.5	244.5	306.5
204351_at	115.8	93.8	155	155.5	158.8	115.5	145.3	142.5	210.5	288.8
204352_at	470.8	591	787	632	846.3	927	769.3	1008.8	1012	762.8
204353_s_at	151.3	127	175	204.8	218	132.5	186.5	202.8	191.8	261.3
204354_at	131	126.5	145.5	190.3	209.8	155	154	148.3	177.5	220.5
204355_at	211.5	203.3	336.8	267	435.3	234	283.5	330.3	307.3	337.3
204356_at	135.5	111	174.5	179.5	177.5	144	153.8	165.5	186.8	264.3
204357_s_at	138.3	138	194.5	200.8	232.3	138.5	176.5	149.8	172.5	270.8
204358_s_at	102.5	90	123.3	131.3	139.8	113.3	133.3	121.3	149.3	267.8
204359_at	110	76.3	127.8	141.3	156.5	84.3	127	118.8	128.3	182.8
204360_s_at	138.5	120.5	186.5	200.5	239	142	179.8	188.3	188.5	313.3
204361_s_at	100.5	74.8	181	144	126.5	78.8	177.8	184.5	268	268.5
204362_at	217.5	173.5	358.3	277.5	212.3	141.5	424	450.5	487.8	500.5
204363_at	114.5	82.3	107.8	137.5	131	100.3	103.8	112.8	134	204.3
204364_s_at	92.5	69.3	95	117.5	123	94.5	97.5	109.3	125.8	230
204365_s_at	158.5	123.5	201.3	182.8	210.5	165	215.5	212	254.8	326
204366_s_at	380.8	332.3	531.5	418	686.3	535.8	452	566.3	486.8	530.3
204367_at	133.5	110.5	247.3	191.3	238	166.8	198.8	250.3	275.8	249
204368_at	127.3	111.3	181.3	220.3	205.8	156.3	171	167	180.5	285
204369_at	170.8	120	306.5	282.5	235	179	281.5	371.5	366.8	360.8
204370_at	223.8	214.5	365.3	315.5	349	184	397.3	370	413.8	480.3
204371_s_at	171.5	145.3	235.3	267.5	266.8	174.5	205.8	219	266	470.5
